episode,timestamp,steps,terminal_reason,difficulty,honeypot_density,graph_size,trap_budget_blue,red_total,red_exfil,red_stealth,red_memory,red_complexity,red_abort_penalty,red_honeypot_penalty,red_emergent_bonus,blue_total,blue_detection,blue_speed,blue_fp_penalty,blue_honeypot_rate,blue_graph_reconstruction,blue_emergent_bonus,oversight_red_adj,oversight_blue_adj,oversight_flags,red_unique_nodes,red_drops_written,red_traps_placed,red_context_resets,red_complexity_multiplier,fleet_verdict,fleet_judgment,forensics_grade,forensics_accuracy,forensics_trap_efficiency,forensics_missed_nodes,forensics_false_positives
1,2026-04-22T23:59:51.434011,10,max_steps,,,,,0.0,0.0,0.58,1.0,1.65,0.0,-0.0,,-0.6,0.594,0.0,0.6,0.0,0.0,,0.0,0.0,none,9,1,1,0,1.65,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.455276,5,detected,,,,,0.0,0.0,0.0,1.0,1.5,0.0,-0.0,,-0.3666,0.7,0.9048,1.0,0.0,0.0,,0.0,0.0,none,6,0,1,0,1.5,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.472995,9,aborted,,,,,-0.3,0.0,0.64,1.0,1.65,-0.3,-0.0,,-0.6875,0.552,0.0,0.75,0.0,0.0625,,0.0,0.0,none,9,1,1,0,1.65,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.492851,8,aborted,,,,,-0.3,0.0,0.29,1.0,1.65,-0.3,-0.0,,0.0095,0.797,0.8694,0.75,0.0,0.0667,,0.0,0.0,none,9,0,1,0,1.65,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.505755,8,aborted,,,,,-0.3,0.0,0.35,1.0,1.65,-0.3,-0.0,,-0.027,0.755,0.8694,0.75,0.0,0.0667,,0.0,0.0,none,9,0,1,0,1.65,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.516929,4,aborted,,,,,-0.5,0.0,0.37,1.0,1.3,-0.3,-0.2,,0.9392,0.741,0.9418,0.0,0.1667,0.125,,0.0,0.0,none,6,0,0,0,1.3,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.528975,6,aborted,,,,,-0.3,0.0,0.73,1.0,1.5,-0.3,-0.0,,-0.6389,0.489,0.0,0.75,0.0,0.1111,,0.0,0.0,none,6,0,1,0,1.5,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.539583,3,aborted,,,,,-0.3,0.0,0.58,1.0,1.2,-0.3,-0.0,,0.0,0.594,0.0,0.0,0.0,0.0,,0.0,0.0,none,4,0,0,0,1.2,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.561280,10,aborted,,,,,-0.1645,0.3333,0.61,1.0,1.65,-0.3,-0.2,,-0.475,0.573,0.0,0.6,0.1667,0.125,,0.0,0.0,none,9,1,1,0,1.65,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.580187,7,aborted,,,,,-0.3,0.0,0.5,1.0,1.4,-0.3,-0.0,,-0.0507,0.65,0.9048,0.75,0.0,0.1111,,0.0,0.0,none,4,0,1,0,1.4,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.656027,7,aborted,,,,,-0.3,0.0,0.56,1.0,1.6,-0.3,-0.0,,-0.6667,0.608,0.0,0.75,0.0,0.0833,,0.0,0.0,none,8,0,1,0,1.6,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.667661,5,detected,,,,,0.0,0.0,0.0,1.0,1.45,0.0,-0.0,,-0.3666,0.7,0.9048,1.0,0.0,0.0,,0.0,0.0,none,5,0,1,0,1.45,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.680370,7,aborted,,,,,-0.3,0.0,0.63,1.0,1.35,-0.3,-0.0,,0.0,0.559,0.0,0.0,0.0,0.0,,0.0,0.0,none,7,0,0,0,1.35,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.693718,7,aborted,,,,,-0.3,0.0,0.63,1.0,1.35,-0.3,-0.0,,0.0833,0.559,0.0,0.0,0.0,0.0833,,0.0,0.0,none,7,0,0,0,1.35,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.714739,10,aborted,,,,,-0.3,0.0,0.31,1.0,1.85,-0.3,-0.0,,-0.2031,0.783,0.8353,0.8571,0.0,0.0,,0.0,0.0,none,9,1,2,0,1.85,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.742076,9,aborted,,,,,-0.5,0.0,0.9,1.0,1.7,-0.3,-0.2,,-0.475,0.37,0.0,0.6,0.1667,0.125,,0.0,0.0,none,10,1,1,0,1.7,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.771984,10,max_steps,,,,,0.0,0.0,0.58,1.0,1.45,0.0,-0.0,,-0.5286,0.594,0.0,0.6,0.0,0.0714,,0.0,0.0,none,5,1,1,0,1.45,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.791872,4,detected,,,,,0.0,0.0,0.0,1.0,1.2,0.0,-0.0,,0.6462,0.7,0.9231,0.0,0.0,0.0,,0.0,0.0,none,4,0,0,0,1.2,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.802957,4,aborted,,,,,-0.5,0.0,0.37,1.0,1.25,-0.3,-0.2,,0.957,0.741,0.9418,0.0,0.1667,0.1429,,0.0,0.0,none,5,0,0,0,1.25,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.816540,7,detected,,,,,0.0,0.0,0.0,1.0,1.5,0.0,-0.0,,-0.1414,0.7,0.8694,0.75,0.0,0.0,,0.0,0.0,none,6,0,1,0,1.5,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.914918,9,aborted,,,,,-0.3,0.0,0.34,1.0,1.9,-0.3,-0.0,,-0.149,0.762,0.8521,0.8571,0.0,0.0588,,0.0,0.0,none,10,1,2,0,1.9,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.946181,10,aborted,,,,,-0.3,0.0,0.61,1.0,1.4,-0.3,-0.0,,-0.6591,0.573,0.0,0.75,0.0,0.0909,,0.0,0.0,none,4,1,1,0,1.4,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.968819,4,aborted,,,,,-0.3,0.0,0.61,1.0,1.3,-0.3,-0.0,,0.0,0.573,0.0,0.0,0.0,0.0,,0.0,0.0,none,6,0,0,0,1.3,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
1,2026-04-22T23:59:51.984605,7,detected,,,,,0.0,0.0,0.0,1.0,1.55,0.0,-0.0,,-0.0333,0.7,0.9048,0.75,0.0,0.0833,,0.0,0.0,none,7,0,1,0,1.55,contested,Episode completed with baseline strategic activity. Neither side established clear dominance.,,,,,
